feature,mean_abs_shap
days_since_last_txn,0.33345553
txn_velocity_change,0.17655048
is_reactivator,0.15594223
tenure_days,0.14829175
txn_count_h2,0.13228579
kyc_tier,0.1316033
txn_count,0.10238048
dormancy_days_before_reactivation,0.044508256
txn_count_h1,0.0059088017
txn_per_active_day,0.0035924814
total_amount_ngn,0.0021667907
account_active_span_days,0.002019395
std_balance_ngn,0.0019482061
total_fee_ngn,0.0016582847
age,0.001484868
min_amount_ngn,0.001385195
avg_balance_ngn,0.0013575351
city,0.0013524581
last_balance_ngn,0.001233671
unique_agents,0.0010713193
max_amount_ngn,0.000952395
avg_fee_ngn,0.00083400385
state,0.0008119457
std_amount_ngn,0.0007348678
unique_channels,0.00064208556
avg_amount_ngn,0.000609254
linked_bank,0.0006056252
referral_source,0.00056969776
preferred_language,0.00036499952
unique_txn_types,0.00030348325
unique_device_os,0.00025606446
gender,0.00012330258
fraud_count,2.0063588e-05
fraud_rate,1.1562842e-05
