feature,gain_score,gain_rank,weight_rank,perm_rank,perm_score
dormancy_days_before_reactivation,8237.306640625,1,26,8,0.0015172857207117695
is_reactivator,6391.59423828125,2,7,3,0.02050264973716276
days_since_last_txn,864.1085205078125,3,2,1,0.07386056592207094
txn_count_h2,714.7620849609375,4,5,6,0.006917317569843218
txn_count,646.1485595703125,5,6,7,0.004388691161491587
txn_velocity_change,304.898681640625,6,3,2,0.024117897094931527
kyc_tier,159.0110626220703,7,4,5,0.0108549680047479
tenure_days,138.57952880859375,8,1,4,0.014610787611508936
txn_count_h1,82.40714263916016,9,18,9,0.0001380205740396878
unique_channels,64.77168273925781,10,30,18,3.972609200864064e-06
fraud_rate,48.83197784423828,11,34,21,-1.8039585227169752e-06
txn_per_active_day,47.09736251831055,12,8,34,-0.00010223510753493148
total_amount_ngn,45.6310920715332,13,17,11,2.7361077714882497e-05
total_fee_ngn,42.94796371459961,14,16,10,3.489674877625859e-05
account_active_span_days,41.06200408935547,15,10,31,-3.020411634668818e-05
last_balance_ngn,40.302703857421875,16,12,33,-3.6705387839997e-05
avg_balance_ngn,40.06716537475586,17,15,32,-3.125450776317873e-05
max_amount_ngn,39.42061996459961,18,20,29,-1.5756066271266357e-05
avg_fee_ngn,38.99756622314453,19,24,26,-5.392178291319105e-06
min_amount_ngn,38.65814971923828,20,14,27,-9.692815409501066e-06
